gamma,strategy,spread,profit_mean,profit_std,qT_mean,qT_std,n_paths,seed,spread_model,price_model,execution_model,allow_cross,floor_intensity_delta,cap_prob
0.01,inventory,1.3289085437337023,68.97631993281792,8.747939130144783,-0.058,5.227041032740987,1000,0,constant,rademacher,bernoulli,True,True,True
0.01,symmetric,1.3289085437337023,69.52181880107057,12.980607023037908,-0.118,8.664129681805504,1000,0,constant,rademacher,bernoulli,True,True,True
